session_id,phase,iteration,elapsed_sec,x_px,y_px,dec_disp_px,ra_disp_px,image_width,image_height
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.167455,672.942,329.935,2.128,-0.035,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.202680,672.953,329.809,2.088,0.085,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.235866,673.038,329.925,2.032,-0.048,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.269341,672.976,329.846,2.074,0.043,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.302284,672.955,329.825,2.090,0.069,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.333026,673.042,329.923,2.027,-0.046,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.369247,672.936,329.792,2.101,0.106,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.402070,672.982,329.900,2.080,-0.010,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.435572,673.081,329.648,1.927,0.213,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.468786,673.037,329.926,2.033,-0.048,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.502246,672.948,329.938,2.122,-0.040,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.533239,672.959,329.819,2.084,0.074,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.569157,673.036,329.944,2.037,-0.065,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.602918,673.098,329.913,1.970,-0.049,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.635998,673.045,329.913,2.022,-0.037,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.669353,673.021,329.645,1.985,0.229,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.702196,672.977,329.769,2.055,0.118,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.734265,673.009,329.604,1.987,0.272,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.767347,672.999,329.803,2.042,0.080,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.802831,673.010,329.980,2.071,-0.094,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.835638,672.992,329.841,2.057,0.045,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.869766,672.998,329.888,2.062,-0.002,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.902702,672.960,329.782,2.075,0.110,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.936501,672.882,329.817,2.159,0.093,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,23.969089,673.023,330.128,2.092,-0.242,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.003423,672.997,329.985,2.085,-0.096,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.034706,673.062,329.970,2.018,-0.096,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.069537,672.935,329.813,2.106,0.086,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.102541,673.083,329.963,1.996,-0.094,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.135743,673.101,329.898,1.963,-0.035,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.169010,673.154,329.618,1.849,0.226,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.202482,672.963,329.711,2.056,0.178,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.236132,673.135,329.780,1.904,0.072,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.269586,673.070,329.660,1.940,0.203,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.301901,673.108,329.780,1.930,0.078,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.333643,673.330,329.731,1.703,0.076,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.369368,673.054,329.611,1.945,0.255,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.402210,673.057,329.773,1.979,0.096,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.435048,673.127,329.727,1.900,0.126,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.468709,673.048,329.624,1.954,0.244,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.503636,672.987,329.567,2.000,0.313,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.532515,673.041,329.630,1.962,0.240,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.570323,672.882,329.660,2.124,0.246,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.602244,672.923,329.568,2.063,0.326,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.636520,672.950,329.647,2.054,0.243,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.668652,673.029,329.651,1.978,0.222,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.701878,672.990,329.751,2.039,0.133,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.734402,672.940,329.653,2.066,0.240,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.769742,672.889,329.644,2.113,0.260,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.802443,672.855,329.764,2.173,0.151,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.834668,672.924,329.721,2.097,0.177,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.868711,673.129,329.696,1.891,0.156,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.902391,672.879,329.849,2.169,0.062,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.935413,672.929,329.705,2.088,0.192,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,24.968563,672.951,329.759,2.078,0.134,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.002527,673.063,329.862,1.993,0.009,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.034618,673.013,329.968,2.065,-0.084,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.068737,672.990,329.752,2.039,0.132,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.102144,672.860,329.827,2.183,0.088,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.134680,672.744,329.786,2.286,0.154,1280,720
25F628E1-E901-4813-B675-57BB910008F1,altitude,1,25.169434,672.871,329.819,2.170,0.094,1280,720
